portal_id,portal_name,portal_level,authority_name,covers_districts,website,has_online,classifier_dept_tags,complaint_categories,required_fields,helpline,whatsapp,fallback_portal_id
P021,IRDAI Bima Bharosa — Insurance Grievance,Central,Insurance Regulatory and Development Authority,ALL_INDIA,https://bimabharosa.irdai.gov.in,Yes,INSURANCE,"Health insurance claim rejection, LIC maturity delay, PMSBY or PMJJBY claim, mis-selling","Policy Number|Insurance company name|Date of claim or event|Claim amount|Earlier complaint to insurer reference|Grievance description|Supporting documents",155255,,P001
P022,TRAI — Telecom Grievance,Central,Telecom Regulatory Authority of India,ALL_INDIA,https://www.trai.gov.in,Yes,TELECOM,"Spam calls, DND violation, billing dispute, call drops, network coverage, MNP delay","Mobile Number|Telecom Operator name|Issue type|Date of issue|Grievance description",198,,P001
P023,NHAI — National Highways Helpline,Central,National Highways Authority of India,ALL_INDIA,https://nhai.gov.in,Yes,ROADS,"Toll plaza issue, FASTag dispute, road condition, accident assistance on NH","National Highway Number|Toll plaza name or location|Vehicle Number|FASTag ID if applicable|Issue type|Mobile Number",1033,,P001
P024,ECI cVIGIL — Election Misconduct,Central,Election Commission of India,ALL_INDIA,https://cvigil.eci.gov.in,Yes,ELECTION,"MCC violation, voter bribing, hate speech, unauthorized rally, property damage","Photo or video evidence of violation|GPS location (auto-captured by app)|Description of violation",1950,,P001
P025,NCSC — National Commission for Scheduled Castes,Central,National Commission for Scheduled Castes,ALL_INDIA,https://ncsc.nic.in,Yes,"WELFARE_SC_ST|HUMAN_RIGHTS","Caste-based atrocity, reservation denial, scholarship withholding","Caste certificate copy|Incident details|Police FIR copy if filed|Supporting documents|Mobile Number",,, P001
P026,NCST — National Commission for Scheduled Tribes,Central,National Commission for Scheduled Tribes,ALL_INDIA,https://ncst.nic.in,Yes,"TRIBAL_RIGHTS|HUMAN_RIGHTS","Tribal rights violation, Forest Rights Act issue, displacement, scholarship denial","Tribal caste certificate copy|Issue description|Supporting documents|Mobile Number",,, P001
P027,NCW — National Commission for Women,Central,National Commission for Women,ALL_INDIA,https://ncw.nic.in,Yes,WOMEN_CHILD,"Domestic violence, POSH, dowry, cyber harassment, trafficking","Complainant name (optional)|Incident details|Earlier action taken if any|Supporting documents|Mobile Number",7827170170,,P001
P028,RTI Online — Central,Central,Department of Personnel and Training,ALL_INDIA,https://rtionline.gov.in,Yes,"REVENUE_LAND|SOCIAL_WELFARE_SCHEME|EDUCATION_SCHOOL|HEALTH|CORRUPTION","RTI requests and appeals to central public authorities","Public authority name|Information sought|Full Name|Postal Address|Mobile Number|Email Address",,, P001
P029,MCA21 — Investor Grievance,Central,Ministry of Corporate Affairs,ALL_INDIA,https://www.mca.gov.in,Yes,"BANKING|CONSUMER_PROTECTION","Company grievance, investor protection, share transfer, refund of deposits","CIN (Company Identification Number)|Company name|Nature of complaint|Grievance description|Supporting documents",0124-4832500,,P001
P030,Women and Child Helpline 181 and 1098,Central+State,Ministry of Women and Child Development,ALL_INDIA,https://wcd.nic.in,No,"WOMEN_CHILD","Domestic violence, child abuse, trafficking, POCSO, women in distress","Caller name (optional)|Location of incident|Nature of emergency|Name of person at risk|Mobile Number",181,,P031
P031,MP CM Helpline 181 — Jansunwai,State,MP General Administration Department,ALL_MP,https://cmhelpline.mp.gov.in,Yes,"ELECTRICITY|WATER_SUPPLY|SANITATION|SOLID_WASTE|ROADS|DRAINAGE|STREET_LIGHT|HEALTH|EDUCATION_SCHOOL|EDUCATION_HIGHER|POLICE|REVENUE_LAND|PENSION_SOCIAL|FOOD_RATION|AGRICULTURE|LABOUR_EMPLOYMENT|WOMEN_CHILD|HOUSING_URBAN|TRANSPORT_VEHICLE|SOCIAL_WELFARE_SCHEME|CORRUPTION|ENVIRONMENT_POLLUTION|FOREST_WILDLIFE|CYBER_CRIME|WELFARE_SC_ST|TRIBAL_RIGHTS|HUMAN_RIGHTS|MINING","Catch-all MP state grievances","Full Name|Mobile Number|Aadhaar Number (optional)|District|Tehsil|Village or Ward|Department name|Complaint description|Photo or video (optional)",181,7552555582,P001
P032,MP Samadhan Online — Lok Sewa,State,MP State Public Service Delivery Commission,ALL_MP,https://samadhan.mp.gov.in,Yes,"REVENUE_LAND|SOCIAL_WELFARE_SCHEME|EDUCATION_SCHOOL|HEALTH|HOUSING_URBAN|TRANSPORT_VEHICLE","Delay in notified government services under MP Lok Sewa Guarantee Act","Application reference number|Service applied for|Department name|Date of application|Prescribed time limit for service|Reason for delay (as known)|Aadhaar Number|Mobile Number",0755-2762900,,P031
P033,MP eDistrict,State,MP State Electronic Development Corporation,ALL_MP,https://mpedistrict.gov.in,Yes,"REVENUE_LAND|WELFARE_SC_ST|TRIBAL_RIGHTS","Caste certificate, income certificate, domicile, residence, OBC, mutation, marriage registration","Application acknowledgement number|Aadhaar Number|Mobile Number|Service name|District|Tehsil|Reason for grievance",,, P031
P034,MP Online — Multi-Service Portal,State,MP Online Limited,ALL_MP,https://mponline.gov.in,Yes,"ELECTRICITY|WATER_SUPPLY|HOUSING_URBAN|EDUCATION_SCHOOL|LABOUR_EMPLOYMENT","Bill payment failure, admission applications, recruitment, scheme applications","Transaction ID|Service name|Date of transaction|Amount paid|Mobile Number|Grievance description",0755-6720200,,P031
P035,MP Lokayukta,State,Madhya Pradesh Lokayukta Sangathan,ALL_MP,https://www.mplokayukta.gov.in,Yes,CORRUPTION,"Corruption by public servants, disproportionate assets, maladministration, abuse of office","Complainant ID proof|Sworn affidavit|Public servant full name and designation|Department name|Detailed allegation|Evidence documents|Mobile Number",1064,,P031
P036,MP State Vigilance — SPE Anti-Corruption,State,Special Police Establishment MP,ALL_MP,https://www.mpspe.gov.in,Yes,CORRUPTION,"Bribery trap request, disproportionate assets, embezzlement, forgery","Complainant ID proof|Officer full name and designation|Bribe demand amount|Time and place of bribe demand|Mobile Number",1064,,P035
P037,MP Police — Citizen Services,State,Madhya Pradesh Police,ALL_MP,https://citizen.mppolice.gov.in,Yes,"POLICE|CYBER_CRIME","FIR filing, lost-article report, police verification, domestic dispute, officer misconduct","Complainant Aadhaar Number|Mobile Number|Incident date and time|Incident location (address)|Complaint type|Detailed description of incident",100,7049106485,P031
P038,MP Cyber Cell,State,MP Police — State Cyber Cell Bhopal,ALL_MP,https://cybercrime.mp.gov.in,Yes,CYBER_CRIME,"UPI or banking fraud, investment scam, social-media abuse, OTP fraud, data theft","Date and time of fraud|Amount lost|Mode of fraud|Bank or Wallet name|Victim account number|Suspect details if known|Screenshots|Bank account statement|Mobile Number|Government ID proof",1930,,P017
P039,MP Transport — Sarathi and Vahan,State,MP Transport Department,ALL_MP,https://transport.mp.gov.in,Yes,TRANSPORT_VEHICLE,"DL delay, vehicle registration, learner licence, permit, pollution certificate, e-challan dispute","DL Number or RC Number|RTO name|Application reference number|Mobile Number|Grievance description",181,,P031
P040,MP Jal Nigam — PHED,State,Public Health Engineering Department MP,ALL_MP,https://phed.mp.gov.in,Yes,WATER_SUPPLY,"Pipeline burst, no water supply, water quality, tanker non-delivery, new connection","Full address|Mobile Number|Connection ID if available|Issue type|Grievance description",0755-2552324,,P031
P041,MP Health Commissionerate,State,Department of Public Health and Family Welfare MP,ALL_MP,https://health.mp.gov.in,Yes,HEALTH,"Hospital service failure, ambulance delay, vaccination shortage, staff misbehaviour, negligence","Patient ID if available|Hospital name|Date of visit|Department or Ward|Grievance description|Mobile Number|Supporting documents if any",104,,P031
P042,MP School Education Portal,State,School Education Department MP,ALL_MP,https://educationportal.mp.gov.in,Yes,EDUCATION_SCHOOL,"Teacher absence, mid-day meal issue, RTE admission, scholarship delay, textbook non-supply","School DISE code|Class of student|Student full name|Complaint type|Grievance description|Mobile Number",181,,P031
P043,MP Higher Education Portal,State,Department of Higher Education MP,ALL_MP,https://highereducation.mp.gov.in,Yes,EDUCATION_HIGHER,"Marksheet delay, scholarship delay, admission issue, exam result, ragging","Enrolment Number|College or University name|Course name|Issue type|Mobile Number|Supporting documents",0755-2554763,,P031
P044,MP Food Civil Supplies — Ration Mitra,State,Department of Food Civil Supplies and Consumer Protection MP,ALL_MP,https://rationmitra.nic.in,Yes,FOOD_RATION,"Ration card issue, NFSA eligibility, FPS quality, quota denial, Aadhaar seeding at FPS","Ration Card Number|Fair Price Shop (FPS) code or name|Aadhaar Number|Full address|Grievance description",1967,,P031
P045,MP Urban Development and Housing,State,Department of Urban Development and Housing MP,ALL_MP,https://www.mpurban.gov.in,Yes,"HOUSING_URBAN|REAL_ESTATE","PMAY-U application, property tax, building plan approval, town planning","Property ID|Application number|Ward number|Urban Local Body name|Mobile Number|Grievance description",181,,P031
P046,MP e-Nagarpalika,State,Urban Administration and Development Directorate MP,ALL_MP,https://mpenagarpalika.gov.in,Yes,"SANITATION|SOLID_WASTE|WATER_SUPPLY|DRAINAGE|STREET_LIGHT|ROADS|HOUSING_URBAN","Property tax, water tax, birth or death certificate, building plans, trade licence, sanitation","ULB name|Ward number|Property ID if applicable|Complaint type|Mobile Number|Grievance description",181,,P031
P047,MP Forest Department,State,MP Forest Department,ALL_MP,https://mpforest.gov.in,Yes,FOREST_WILDLIFE,"Wildlife conflict, poaching, illegal timber, encroachment, crop or cattle loss compensation","Location (forest compartment or beat name)|Date of incident|Complaint type|Loss assessed|Mobile Number",1926,,P031
P048,MP Pollution Control Board,State,MP Pollution Control Board,ALL_MP,https://mppcb.mp.gov.in,Yes,ENVIRONMENT_POLLUTION,"Air pollution, industrial effluent, noise pollution, plastic waste, construction debris","Location of pollution source|Name or type of pollution source|Type of pollution|Photo or video if available|Mobile Number",0755-2466191,,P031
P049,MP Agriculture Department,State,Directorate of Agriculture MP,ALL_MP,https://mpkrishi.mp.gov.in,Yes,AGRICULTURE,"Subsidy delay, crop insurance liaison, soil health card, KCC loan, mandi procurement","Aadhaar Number|Khasra or Khatauni Number|Bank Account Number|Crop name|Issue type|Mobile Number",0755-2540637,,P031
P050,MP Labour Department — Sambal Yojana,State,Labour Department MP,ALL_MP,https://labour.mp.gov.in,Yes,"LABOUR_EMPLOYMENT|SOCIAL_WELFARE_SCHEME","Sambal benefit, minimum wage violation, accident compensation, industrial dispute","Sambal ID|Aadhaar Number|Employer name|Issue type|Mobile Number",181,,P031
P051,MP Women and Child — Ladli Behna Yojana,State,Women and Child Development Department MP,ALL_MP,https://cmladlibahna.mp.gov.in,Yes,"WOMEN_CHILD|SOCIAL_WELFARE_SCHEME","Ladli Behna installment not received, Ladli Lakshmi, anganwadi, domestic violence","Aadhaar Number|Samagra ID|Bank Account Number|Mobile Number|Issue type|Grievance description",181,,P031
P052,Samagra Portal — MP Welfare Database,State,Samagra Samajik Suraksha Mission MP,ALL_MP,https://samagra.gov.in,Yes,"PENSION_SOCIAL|SOCIAL_WELFARE_SCHEME|WELFARE_SC_ST","Samagra ID issue, old age pension, widow pension, disabled pension, beneficiary linkage","Samagra ID|Aadhaar Number|Bank Account Number|Mobile Number|Issue description",181,,P031
P053,MP RERA — Real Estate Authority,State,MP Real Estate Regulatory Authority,ALL_MP,https://rera.mp.gov.in,Yes,"REAL_ESTATE|HOUSING_URBAN","Possession delay, structural defect, false advertising, refund from builder, builder default","RERA Project Registration ID|Copy of allotment letter|Builder name|Date of agreement|Grievance description|Supporting documents",,, P045
P054,MP RTI Portal — State,State,MP State Information Commission,ALL_MP,https://rtimp.mp.gov.in,Yes,"REVENUE_LAND|SOCIAL_WELFARE_SCHEME|EDUCATION_SCHOOL|HEALTH|CORRUPTION","RTI requests and appeals to MP state public authorities","PIO name or Department name|Information sought|Full Name|Postal Address|Mobile Number|Fee payment receipt",,, P031
P055,MP State Human Rights Commission,State,MPSHRC,ALL_MP,https://mphumanrights.mp.gov.in,Yes,"HUMAN_RIGHTS|POLICE|WELFARE_SC_ST|TRIBAL_RIGHTS|WOMEN_CHILD","Custodial violence, police excess, denial of constitutional rights, atrocities, jail conditions","Complainant ID proof|Victim full details|Place and date of incident|Grievance description|Police action taken if any|Supporting documents",,, P031
P056,MP CM Jansunwai — Tuesday Hearing,State,MP General Administration Department,ALL_MP,https://cmhelpline.mp.gov.in,No,"ELECTRICITY|WATER_SUPPLY|HEALTH|EDUCATION_SCHOOL|POLICE|REVENUE_LAND|SOCIAL_WELFARE_SCHEME","Escalation for unresolved CM Helpline grievances older than 30 days","Earlier CM Helpline Complaint ID|Aadhaar Number|Grievance description|Supporting documents",181,,P031
P057,MP Sambal 2.0 Yojana Portal,State,Department of Labour MP,ALL_MP,https://sambal.mp.gov.in,Yes,"LABOUR_EMPLOYMENT|SOCIAL_WELFARE_SCHEME","Sambal card issuance, death benefit, accident benefit, maternity benefit, funeral assistance, scholarship","Sambal ID|Aadhaar Number|Bank Account Number|Claim type|Mobile Number|Supporting documents",181,,P050
P058,MP Cooperative Department,State,MP Cooperative Department — MARKFED,ALL_MP,https://mpcooperative.gov.in,Yes,"AGRICULTURE|LABOUR_EMPLOYMENT","Cooperative society dispute, fertilizer subsidy, MARKFED procurement, primary cooperative bank","Society name|Member ID|Issue description|Mobile Number|Supporting documents",181,,P031
P059,MP Mineral Resources,State,MP Department of Mineral Resources,ALL_MP,https://www.mineralresources.mp.gov.in,Yes,MINING,"Illegal mining, royalty dispute, transit pass issue, mining lease complaint","Location details|Complaint type|Photos if available|Vehicle number or permit number|Mobile Number",181,,P031
P061,MPPKVVCL — Bhopal Discom Central MP,Regional,MP Madhya Kshetra Vidyut Vitaran Co. Ltd.,"Bhopal|Raisen|Sehore|Rajgarh|Vidisha|Guna|Ashoknagar|Shivpuri|Gwalior|Datia|Bhind|Morena|Sheopur|Hoshangabad|Harda|Betul",https://www.mpcz.in,Yes,ELECTRICITY,"Power outage, transformer fault, bill discrepancy, street light, meter issue, new connection","IVRS Consumer Number|Full address of connection|Complaint type|Mobile Number|Description of issue",1912,0755-2551222,P031
P062,MPPaschim KVVCL — Indore Discom West MP,Regional,MP Paschim Kshetra Vidyut Vitaran Co. Ltd.,"Indore|Dewas|Dhar|Jhabua|Alirajpur|Barwani|Khargone|Khandwa|Burhanpur|Neemuch|Mandsaur|Ratlam|Shajapur|Ujjain|Agar Malwa",https://www.mpwz.co.in,Yes,ELECTRICITY,"Power outage, transformer fault, bill discrepancy, street light, meter issue, new connection","Consumer Number|IVRS Number|Complaint type|Full address of connection|Mobile Number",1912,0731-6700066,P031
P063,MPMKVVCL — Jabalpur Discom East MP,Regional,MP Madhya Purv Kshetra Vidyut Vitaran Co. Ltd.,"Jabalpur|Katni|Narsinghpur|Chhindwara|Seoni|Balaghat|Mandla|Dindori|Anuppur|Shahdol|Umaria|Sagar|Damoh|Panna|Chhatarpur|Tikamgarh|Niwari|Rewa|Satna|Sidhi|Singrauli",https://www.mpez.co.in,Yes,ELECTRICITY,"Power outage, transformer fault, bill discrepancy, street light, meter issue, new connection","Consumer Number|IVRS Number|Complaint type|Full address of connection|Mobile Number",1912,,P031
P064,Bhopal Municipal Corporation — BMC,Regional,Nagar Nigam Bhopal,Bhopal,https://bhopalmunicipal.com,Yes,"SANITATION|SOLID_WASTE|WATER_SUPPLY|DRAINAGE|STREET_LIGHT|ROADS|HOUSING_URBAN","Garbage collection, property tax, water supply, drainage, streetlights, birth or death certificate","Property ID|Ward number|Mobile Number|Complaint type|Description of issue|Photo (optional)",155304,,P046
P065,Indore Municipal Corporation — IMC,Regional,Nagar Nigam Indore,Indore,https://imcindore.mp.gov.in,Yes,"SANITATION|SOLID_WASTE|WATER_SUPPLY|DRAINAGE|STREET_LIGHT|ROADS|HOUSING_URBAN","Garbage collection, property tax, water supply, drainage, streetlights, public toilets","Property ID|Ward or Zone name|Mobile Number|Complaint type|Description of issue",0731-2535555,,P046
P066,Gwalior Nagar Nigam,Regional,Nagar Nigam Gwalior,Gwalior,https://www.nagarnigamgwalior.com,Yes,"SANITATION|SOLID_WASTE|WATER_SUPPLY|DRAINAGE|STREET_LIGHT|ROADS|HOUSING_URBAN","Garbage collection, property tax, water supply, drainage, streetlights, certificates","Property ID|Ward number|Mobile Number|Complaint type|Description of issue",0751-2434527,,P046
P067,Jabalpur Nagar Nigam,Regional,Nagar Nigam Jabalpur,Jabalpur,https://www.nagarnigamjabalpur.org,Yes,"SANITATION|SOLID_WASTE|WATER_SUPPLY|DRAINAGE|STREET_LIGHT|ROADS|HOUSING_URBAN","Garbage collection, property tax, water supply, drainage, streetlights, certificates","Property ID|Ward number|Mobile Number|Complaint type|Description of issue",0761-2678270,,P046
P068,Ujjain Nagar Nigam,Regional,Nagar Nigam Ujjain,Ujjain,https://www.nagarnigamujjain.com,Yes,"SANITATION|SOLID_WASTE|WATER_SUPPLY|DRAINAGE|STREET_LIGHT|ROADS|HOUSING_URBAN","Garbage collection, property tax, water supply, drainage, streetlights","Property ID|Ward number|Mobile Number|Complaint type|Description of issue",0734-2519253,,P046
P069,Sagar Nagar Nigam,Regional,Nagar Nigam Sagar,Sagar,https://www.nagarnigamsagar.com,Yes,"SANITATION|SOLID_WASTE|WATER_SUPPLY|DRAINAGE|STREET_LIGHT|ROADS|HOUSING_URBAN","Garbage collection, property tax, water supply, drainage, streetlights","Property ID|Ward number|Mobile Number|Complaint type|Description of issue",07582-225504,,P046
P070,Bhopal Police — Citizen Portal,Regional,Bhopal City Police Commissionerate,Bhopal,https://www.bhopalpolice.gov.in,Yes,"POLICE|CYBER_CRIME","FIR filing, lost article report, tenant or servant verification, women safety, traffic challan","Complainant Aadhaar Number|Mobile Number|Complaint type|Date and time of incident|Incident location|Description of incident",0755-2443900,,P037
P071,Indore Police — Citizen Portal,Regional,Indore City Police Commissionerate,Indore,https://www.indorepolice.org,Yes,"POLICE|CYBER_CRIME","FIR filing, lost article report, tenant or servant verification, cyber crime, traffic challan","Complainant Aadhaar Number|Mobile Number|Complaint type|Date and time of incident|Incident location|Description of incident",0731-2510255,,P037
